1sup,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
,2,14:59:31,15:04:27,,,,,,,,,,
,3,15:04:27,15:06:33,,,,,,,,,,
,4,15:06:33,15:08:04,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,15:09:21:186,15:24:16:066,,,,,,,,,,
,1,15:09:21,15:13:04,,,,,,,,,,
,2,15:13:04,15:15:29,,,,,,,,,,
,3,15:15:29,15:20:23,,,,,,,,,,
,4,15:20:23,15:24:16,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,15:25:46:852,15:41:10:574,,,,,,,,,,
,1,15:25:46,15:31:27,,,,,,,,,,
,2,15:31:27,15:35:12,,,,,,,,,,
,3,15:35:12,15:40:43,,,,,,,,,,
,4,15:40:43,15:41:10,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12,12tar,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,16:38:43:812,16:52:42:415,,,,,,,,,,
,1,16:38:43,16:45:34,,,,,,,,,,
,2,16:45:34,16:46:39,,,0:13:59,0:15:32,0:14:25,,,,,
,3,16:46:39,16:48:11,,,,,,,,,,
,4,16:48:11,16:52:42,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,16:53:35:344,19:9:7:469,,,,,,,,,,
,1,16:53:35,16:59:11,,,,,,,,,,
,2,16:59:11,17:03:27,,,,,,,,,,
,3,17:03:27,17:08:04,,,,,,,,,,
,4,17:08:04,17:09:07,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,17:10:20:323,17:24:45:430,,,,,,,,,,
,1,17:10:20,17:14:19,,,,,,,,,,
,2,17:14:19,17:17:44,,,,,,,,,,
,3,17:17:44,17:22:36,,,,,,,,,,
,4,17:22:36,17:24:45,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
13,13raj,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,9:28:7:219,9:44:6:431,,,,,,,,,,
,1,9:28:07,9:33:51,,,,,,,,,,
,2,,9:39:02,,0:15:59,0:16:42,0:13:29,,,,,,
,3,,9:41:29,,,,,,,,,,
,4,,9:44:06,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,9:45:25:394,10:2:7:688,,,,,,,,,,
,1,9:45:25,9:48:49,,,,,,,,,,
,2,,9:52:50,,,,,,,,,,
,3,,9:55:44,,,,,,,,,,
,4,,10:02:07,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,10:20:32:783,10:34:1:371,,,,,,,,,,
,1,10:20:32,10:22:39,,,,,,,,,,
,2,,10:25:49,,,,,,,,,,
,3,,10:31:01,,,,,,,,,,
,4,,10:34:01,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
14,14ayu,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,10:57:9:52,11:11:3:143,,,,,,,,,,
,1,10:57:09,11:00:32,,,,,,,,,,
,2,,11:03:24,,,0:13:54,0:14:11,0:11:52,,,,,
,3,,11:10:55,,,,,,,,,,
,4,,11:11:03,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,11:12:05:290,,,,,,,,,,,
,1,11:12:05,11:17:24,,,,,,,,,,
,2,,11:21:28,,,,,,,,,,
,3,,11:26:16,,,,,,,,,,
,4,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,11:29:27:649,11:41:19:187,,,,,,,,,,
,1,11:29:27,11:33:40,,,,,,,,,,
,2,,11:35:42,,,,,,,,,,
,3,,11:39:45,,,,,,,,,,
,4,,11:41:19,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
15,15jay,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,12:23:39:483,12:39:02:994,,,,,,,,,,
,1,12:23:39,12:27:04,,,,,,,,,,
,2,,12:30:34,,,,,,,,,,
,3,,12:33:53,,,0:15:23,0:15:23,0:14:27,,,,,
,4,,12:39:02,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,12:49:47:525,13:05:10:800,,,,,,,,,,
,1,12:49:47,12:54:52,,,,,,,,,,
,2,,12:57:05,,,,,,,,,,
,3,,13:02:00,,,,,,,,,,
,4,,13:05:10,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,13:05:42:286,13:20:9:949,,,,,,,,,,
,1,13:05:42,13:09:18,,,,,,,,,,
,2,,13:11:40,,,,,,,,,,
,3,,13:16:18,,,,,,,,,,
,4,,13:20:09,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
16,16shiv,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,13:46:37:926,14:00:53:259,,,,,,,,,,
,1,13:46:37,13:50:51,,,,,,,,,,
,2,,13:54:51,,,,,,,,,,
,3,,13:57:41,,,,,,,,,,
,4,,14:00:53,,,0:14:16,0:14:47,0:15:11,,,,,
,,,,,,,,,,,,,
Type 2,,14:2:30:568,14:17:17:357,,,,,,,,,,
,1,14:02:30,14:07:04,,,,,,,,,,
,2,,14:10:02,,,,,,,,,,
,3,,14:13:05,,,,,,,,,,
,4,,14:17:17,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,14:20:38:434,14:35:49:33,,,,,,,,,,
,1,14:20:38,14:25:00,,,,,,,,,,
,2,,14:28:30,,,,,,,,,,
,3,,14:31:12,,,,,,,,,,
,4,,14:35:49,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
17,17anki,,,,,,,,,,,,
